State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Bexar,112,-98.743756,29.653215 -98.743756,29.646895 -98.754126,29.646895 -98.754126,29.653215 -98.743756,29.653215
TX,Bexar,113,-98.7562,29.646895 -98.7562,29.638996 -98.764497,29.638996 -98.764497,29.646895 -98.7562,29.646895
TX,Bexar,114,-98.7562,29.638996 -98.7562,29.631096 -98.764497,29.631096 -98.764497,29.638996 -98.7562,29.638996
TX,Bexar,115,-98.743756,29.646895 -98.743756,29.641629 -98.7562,29.641629 -98.7562,29.646895 -98.743756,29.646895
TX,Bexar,116,-98.7562,29.641629 -98.749978,29.641629 -98.749978,29.631096 -98.7562,29.631096 -98.7562,29.641629
TX,Bexar,117,-98.749978,29.641629 -98.743756,29.641629 -98.743756,29.631096 -98.749978,29.631096 -98.749978,29.641629
TX,Bexar,118,-98.733386,29.659534 -98.733386,29.653215 -98.743756,29.653215 -98.743756,29.659534 -98.733386,29.659534
TX,Bexar,119,-98.733386,29.653215 -98.733386,29.646895 -98.743756,29.646895 -98.743756,29.653215 -98.733386,29.653215
TX,Bexar,120,-98.723016,29.659534 -98.723016,29.653215 -98.733386,29.653215 -98.733386,29.659534 -98.723016,29.659534
TX,Bexar,121,-98.723016,29.653215 -98.723016,29.646895 -98.733386,29.646895 -98.733386,29.653215 -98.723016,29.653215
TX,Bexar,122,-98.73546,29.646895 -98.73546,29.638996 -98.743756,29.638996 -98.743756,29.646895 -98.73546,29.646895
TX,Bexar,123,-98.73546,29.638996 -98.73546,29.631096 -98.743756,29.631096 -98.743756,29.638996 -98.73546,29.638996
TX,Bexar,124,-98.723016,29.646895 -98.723016,29.641629 -98.73546,29.641629 -98.73546,29.646895 -98.723016,29.646895
TX,Bexar,125,-98.73546,29.641629 -98.729238,29.641629 -98.729238,29.631096 -98.73546,29.631096 -98.73546,29.641629
TX,Bexar,126,-98.729238,29.641629 -98.723016,29.641629 -98.723016,29.631096 -98.729238,29.631096 -98.729238,29.641629
TX,Bexar,127,-98.754126,29.631096 -98.754126,29.624777 -98.764497,29.624777 -98.764497,29.631096 -98.754126,29.631096
TX,Bexar,128,-98.754126,29.624777 -98.754126,29.618457 -98.764497,29.618457 -98.764497,29.624777 -98.754126,29.624777
TX,Bexar,129,-98.743756,29.631096 -98.743756,29.624777 -98.754126,29.624777 -98.754126,29.631096 -98.743756,29.631096
TX,Bexar,130,-98.743756,29.624777 -98.743756,29.618457 -98.754126,29.618457 -98.754126,29.624777 -98.743756,29.624777
TX,Bexar,131,-98.7562,29.618457 -98.7562,29.610558 -98.764497,29.610558 -98.764497,29.618457 -98.7562,29.618457
TX,Bexar,132,-98.7562,29.610558 -98.7562,29.602658 -98.764497,29.602658 -98.764497,29.610558 -98.7562,29.610558
TX,Bexar,133,-98.743756,29.618457 -98.743756,29.613191 -98.7562,29.613191 -98.7562,29.618457 -98.743756,29.618457
TX,Bexar,134,-98.7562,29.613191 -98.749978,29.613191 -98.749978,29.602658 -98.7562,29.602658 -98.7562,29.613191
TX,Bexar,135,-98.749978,29.613191 -98.743756,29.613191 -98.743756,29.602658 -98.749978,29.602658 -98.749978,29.613191
TX,Bexar,136,-98.733386,29.631096 -98.733386,29.624777 -98.743756,29.624777 -98.743756,29.631096 -98.733386,29.631096
TX,Bexar,137,-98.733386,29.624777 -98.733386,29.618457 -98.743756,29.618457 -98.743756,29.624777 -98.733386,29.624777
TX,Bexar,138,-98.723016,29.631096 -98.723016,29.624777 -98.733386,29.624777 -98.733386,29.631096 -98.723016,29.631096
TX,Bexar,139,-98.723016,29.624777 -98.723016,29.618457 -98.733386,29.618457 -98.733386,29.624777 -98.723016,29.624777
TX,Bexar,140,-98.73546,29.618457 -98.73546,29.610558 -98.743756,29.610558 -98.743756,29.618457 -98.73546,29.618457
TX,Bexar,141,-98.73546,29.610558 -98.73546,29.602658 -98.743756,29.602658 -98.743756,29.610558 -98.73546,29.610558
TX,Bexar,142,-98.723016,29.618457 -98.723016,29.613191 -98.73546,29.613191 -98.73546,29.618457 -98.723016,29.618457
TX,Bexar,143,-98.73546,29.613191 -98.729238,29.613191 -98.729238,29.602658 -98.73546,29.602658 -98.73546,29.613191
TX,Bexar,144,-98.729238,29.613191 -98.723016,29.613191 -98.723016,29.602658 -98.729238,29.602658 -98.729238,29.613191
TX,Bexar,145,-98.723016,29.729139 -98.717094,29.725512 -98.715635,29.726116 -98.715635,29.718147 -98.723016,29.718147 -98.723016,29.729139
TX,Bexar,146,-98.715635,29.726116 -98.714195,29.726711 -98.711098,29.730213 -98.70938,29.731327 -98.70938,29.718147 -98.715635,29.718147 -98.715635,29.726116
TX,Bexar,147,-98.70938,29.731327 -98.707397,29.732613 -98.703896,29.733112 -98.7006,29.732712 -98.7006,29.736311 -98.700408,29.736386 -98.700408,29.725453 -98.70938,29.725453 -98.70938,29.731327
TX,Bexar,148,-98.70938,29.725453 -98.700408,29.725453 -98.700408,29.718147 -98.70938,29.718147 -98.70938,29.725453
TX,Bexar,149,-98.713973,29.718147 -98.713973,29.7109 -98.723016,29.7109 -98.723016,29.718147 -98.713973,29.718147
TX,Bexar,150,-98.713973,29.7109 -98.713973,29.703653 -98.723016,29.703653 -98.723016,29.7109 -98.713973,29.7109
TX,Bexar,151,-98.700408,29.718147 -98.700408,29.713316 -98.713973,29.713316 -98.713973,29.718147 -98.700408,29.718147
TX,Bexar,152,-98.713973,29.713316 -98.707191,29.713316 -98.707191,29.703653 -98.713973,29.703653 -98.713973,29.713316
TX,Bexar,153,-98.707191,29.713316 -98.700408,29.713316 -98.700408,29.703653 -98.707191,29.703653 -98.707191,29.713316
TX,Bexar,154,-98.700408,29.736386 -98.698296,29.737211 -98.691696,29.735712 -98.691112,29.736266 -98.691112,29.729459 -98.700408,29.729459 -98.700408,29.736386
TX,Bexar,155,-98.691112,29.729459 -98.691112,29.722409 -98.700408,29.722409 -98.700408,29.729459 -98.691112,29.729459
TX,Bexar,156,-98.682938,29.739184 -98.682938,29.730427 -98.691112,29.730427 -98.691112,29.736266 -98.689796,29.737513 -98.687294,29.738913 -98.682938,29.739184
TX,Bexar,157,-98.682938,29.730427 -98.682938,29.722409 -98.691112,29.722409 -98.691112,29.730427 -98.682938,29.730427
TX,Bexar,158,-98.700408,29.722409 -98.691673,29.722409 -98.691673,29.714907 -98.700408,29.714907 -98.700408,29.722409
TX,Bexar,159,-98.691673,29.722409 -98.682938,29.722409 -98.682938,29.714907 -98.691673,29.714907 -98.691673,29.722409
TX,Bexar,160,-98.700408,29.714907 -98.694585,29.714907 -98.694585,29.703653 -98.700408,29.703653 -98.700408,29.714907
TX,Bexar,161,-98.694585,29.714907 -98.688762,29.714907 -98.688762,29.703653 -98.694585,29.703653 -98.694585,29.714907
TX,Bexar,162,-98.688762,29.714907 -98.682938,29.714907 -98.682938,29.703653 -98.688762,29.703653 -98.688762,29.714907
TX,Bexar,163,-98.682938,29.739184 -98.682495,29.739212 -98.68,29.738012 -98.677597,29.737612 -98.675293,29.737913 -98.673897,29.741611 -98.67332,29.741885 -98.67332,29.731777 -98.682938,29.731777 -98.682938,29.739184
TX,Bexar,164,-98.67332,29.741885 -98.670097,29.743412 -98.667454,29.743216 -98.667454,29.731777 -98.67332,29.731777 -98.67332,29.741885
TX,Bexar,165,-98.682938,29.731777 -98.675196,29.731777 -98.675196,29.723312 -98.682938,29.723312 -98.682938,29.731777
TX,Bexar,166,-98.675196,29.731777 -98.667454,29.731777 -98.667454,29.723312 -98.675196,29.723312 -98.675196,29.731777
TX,Bexar,167,-98.658583,29.748629 -98.658583,29.736853 -98.667454,29.736853 -98.667454,29.743216 -98.667397,29.743212 -98.664093,29.741512 -98.661995,29.741013 -98.659897,29.742113 -98.660896,29.743813 -98.663094,29.745312 -98.661499,29.748812 -98.658583,29.748629
TX,Bexar,168,-98.652935,29.749382 -98.652935,29.736853 -98.658583,29.736853 -98.658583,29.748629 -98.658295,29.748611 -98.6548,29.748013 -98.652935,29.749382
TX,Bexar,169,-98.667454,29.736853 -98.662614,29.736853 -98.662614,29.723312 -98.667454,29.723312 -98.667454,29.736853
TX,Bexar,170,-98.652935,29.736853 -98.652935,29.730082 -98.662614,29.730082 -98.662614,29.736853 -98.652935,29.736853
TX,Bexar,171,-98.652935,29.730082 -98.652935,29.723312 -98.662614,29.723312 -98.662614,29.730082 -98.652935,29.730082
TX,Bexar,172,-98.682938,29.723312 -98.676271,29.723312 -98.676271,29.713482 -98.682938,29.713482 -98.682938,29.723312
TX,Bexar,173,-98.676271,29.723312 -98.669603,29.723312 -98.669603,29.713482 -98.676271,29.713482 -98.676271,29.723312
TX,Bexar,174,-98.682938,29.713482 -98.676271,29.713482 -98.676271,29.703653 -98.682938,29.703653 -98.682938,29.713482
TX,Bexar,175,-98.676271,29.713482 -98.669603,29.713482 -98.669603,29.703653 -98.676271,29.703653 -98.676271,29.713482
TX,Bexar,176,-98.669603,29.723312 -98.661269,29.723312 -98.661269,29.715448 -98.669603,29.715448 -98.669603,29.723312
TX,Bexar,177,-98.661269,29.723312 -98.652935,29.723312 -98.652935,29.715448 -98.661269,29.715448 -98.661269,29.723312
