State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Polk,186,-95.044818,30.900483 -95.037589,30.900483 -95.037589,30.891416 -95.044818,30.891416 -95.044818,30.900483
TX,Polk,187,-95.037589,30.900483 -95.030361,30.900483 -95.030361,30.891416 -95.037589,30.891416 -95.037589,30.900483
TX,Polk,188,-95.044818,30.891416 -95.037589,30.891416 -95.037589,30.88235 -95.044818,30.88235 -95.044818,30.891416
TX,Polk,189,-95.037589,30.891416 -95.030361,30.891416 -95.030361,30.88235 -95.037589,30.88235 -95.037589,30.891416
TX,Polk,190,-95.030361,30.900483 -95.023132,30.900483 -95.023132,30.891416 -95.030361,30.891416 -95.030361,30.900483
TX,Polk,191,-95.023132,30.900483 -95.015903,30.900483 -95.015903,30.891416 -95.023132,30.891416 -95.023132,30.900483
TX,Polk,192,-95.030361,30.891416 -95.023132,30.891416 -95.023132,30.88235 -95.030361,30.88235 -95.030361,30.891416
TX,Polk,193,-95.023132,30.891416 -95.015903,30.891416 -95.015903,30.88235 -95.023132,30.88235 -95.023132,30.891416
TX,Polk,194,-95.073732,30.88235 -95.066504,30.88235 -95.066504,30.873283 -95.073732,30.873283 -95.073732,30.88235
TX,Polk,195,-95.066504,30.88235 -95.059275,30.88235 -95.059275,30.873283 -95.066504,30.873283 -95.066504,30.88235
TX,Polk,196,-95.073732,30.873283 -95.066504,30.873283 -95.066504,30.864217 -95.073732,30.864217 -95.073732,30.873283
TX,Polk,197,-95.066504,30.873283 -95.059275,30.873283 -95.059275,30.864217 -95.066504,30.864217 -95.066504,30.873283
TX,Polk,198,-95.059275,30.88235 -95.052046,30.88235 -95.052046,30.873283 -95.059275,30.873283 -95.059275,30.88235
TX,Polk,199,-95.052046,30.88235 -95.044818,30.88235 -95.044818,30.873283 -95.052046,30.873283 -95.052046,30.88235
TX,Polk,200,-95.059275,30.873283 -95.052046,30.873283 -95.052046,30.864217 -95.059275,30.864217 -95.059275,30.873283
TX,Polk,201,-95.052046,30.873283 -95.044818,30.873283 -95.044818,30.864217 -95.052046,30.864217 -95.052046,30.873283
TX,Polk,202,-95.073732,30.864217 -95.066504,30.864217 -95.066504,30.85515 -95.073732,30.85515 -95.073732,30.864217
TX,Polk,203,-95.066504,30.864217 -95.059275,30.864217 -95.059275,30.85515 -95.066504,30.85515 -95.066504,30.864217
TX,Polk,204,-95.073732,30.85515 -95.066504,30.85515 -95.066504,30.846083 -95.073732,30.846083 -95.073732,30.85515
TX,Polk,205,-95.066504,30.85515 -95.059275,30.85515 -95.059275,30.846083 -95.066504,30.846083 -95.066504,30.85515
TX,Polk,206,-95.059275,30.864217 -95.052046,30.864217 -95.052046,30.85515 -95.059275,30.85515 -95.059275,30.864217
TX,Polk,207,-95.052046,30.864217 -95.044818,30.864217 -95.044818,30.85515 -95.052046,30.85515 -95.052046,30.864217
TX,Polk,208,-95.059275,30.85515 -95.052046,30.85515 -95.052046,30.846083 -95.059275,30.846083 -95.059275,30.85515
TX,Polk,209,-95.052046,30.85515 -95.044818,30.85515 -95.044818,30.846083 -95.052046,30.846083 -95.052046,30.85515
TX,Polk,210,-95.044818,30.88235 -95.037589,30.88235 -95.037589,30.873283 -95.044818,30.873283 -95.044818,30.88235
TX,Polk,211,-95.037589,30.88235 -95.030361,30.88235 -95.030361,30.873283 -95.037589,30.873283 -95.037589,30.88235
TX,Polk,212,-95.044818,30.873283 -95.037589,30.873283 -95.037589,30.864217 -95.044818,30.864217 -95.044818,30.873283
TX,Polk,213,-95.037589,30.873283 -95.030361,30.873283 -95.030361,30.864217 -95.037589,30.864217 -95.037589,30.873283
TX,Polk,214,-95.030361,30.88235 -95.023132,30.88235 -95.023132,30.873283 -95.030361,30.873283 -95.030361,30.88235
TX,Polk,215,-95.023132,30.88235 -95.015903,30.88235 -95.015903,30.873283 -95.023132,30.873283 -95.023132,30.88235
