State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Calhoun,119,-96.853292,28.523742 -96.84536,28.523742 -96.84536,28.515478 -96.853292,28.515478 -96.853292,28.523742
TX,Calhoun,120,-96.84536,28.523742 -96.837428,28.523742 -96.837428,28.515478 -96.84536,28.515478 -96.84536,28.523742
TX,Calhoun,121,-96.853292,28.515478 -96.84536,28.515478 -96.84536,28.507214 -96.853292,28.507214 -96.853292,28.515478
TX,Calhoun,122,-96.84536,28.515478 -96.837428,28.515478 -96.837428,28.507214 -96.84536,28.507214 -96.84536,28.515478
TX,Calhoun,123,-96.837428,28.639492 -96.831439,28.64106 -96.831439,28.629332 -96.837428,28.629332 -96.837428,28.639492
TX,Calhoun,124,-96.821389,28.643691 -96.821389,28.635854 -96.831439,28.635854 -96.831439,28.64106 -96.821389,28.643691
TX,Calhoun,125,-96.821389,28.635854 -96.821389,28.629332 -96.831439,28.629332 -96.831439,28.635854 -96.821389,28.635854
TX,Calhoun,126,-96.821389,28.643691 -96.812422,28.646039 -96.812422,28.637555 -96.821389,28.637555 -96.821389,28.643691
TX,Calhoun,127,-96.812422,28.646039 -96.805446,28.647865 -96.805446,28.637555 -96.812422,28.637555 -96.812422,28.646039
TX,Calhoun,128,-96.821389,28.637555 -96.813417,28.637555 -96.813417,28.629332 -96.821389,28.629332 -96.821389,28.637555
TX,Calhoun,129,-96.813417,28.637555 -96.805446,28.637555 -96.805446,28.629332 -96.813417,28.629332 -96.813417,28.637555
TX,Calhoun,130,-96.837428,28.629332 -96.829433,28.629332 -96.829433,28.621134 -96.837428,28.621134 -96.837428,28.629332
TX,Calhoun,131,-96.829433,28.629332 -96.821437,28.629332 -96.821437,28.621134 -96.829433,28.621134 -96.829433,28.629332
TX,Calhoun,132,-96.837428,28.621134 -96.829433,28.621134 -96.829433,28.612936 -96.837428,28.612936 -96.837428,28.621134
TX,Calhoun,133,-96.829433,28.621134 -96.821437,28.621134 -96.821437,28.612936 -96.829433,28.612936 -96.829433,28.621134
