State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Brazoria,152,-95.717781,29.261126 -95.717781,29.254393 -95.727515,29.254393 -95.727515,29.261126 -95.717781,29.261126
TX,Brazoria,153,-95.717781,29.254393 -95.717781,29.24766 -95.727515,29.24766 -95.727515,29.254393 -95.717781,29.254393
TX,Brazoria,154,-95.746983,29.24766 -95.740346,29.24766 -95.740346,29.237786 -95.746983,29.237786 -95.746983,29.24766
TX,Brazoria,155,-95.740346,29.24766 -95.733709,29.24766 -95.733709,29.237786 -95.740346,29.237786 -95.740346,29.24766
TX,Brazoria,156,-95.733709,29.237786 -95.733709,29.232848 -95.746983,29.232848 -95.746983,29.237786 -95.733709,29.237786
TX,Brazoria,157,-95.746983,29.232848 -95.740346,29.232848 -95.740346,29.222974 -95.746983,29.222974 -95.746983,29.232848
TX,Brazoria,158,-95.740346,29.232848 -95.733709,29.232848 -95.733709,29.222974 -95.740346,29.222974 -95.740346,29.232848
TX,Brazoria,159,-95.733709,29.24766 -95.7284,29.24766 -95.7284,29.235317 -95.733709,29.235317 -95.733709,29.24766
TX,Brazoria,160,-95.717781,29.24766 -95.717781,29.241489 -95.7284,29.241489 -95.7284,29.24766 -95.717781,29.24766
TX,Brazoria,161,-95.717781,29.241489 -95.717781,29.235317 -95.7284,29.235317 -95.7284,29.241489 -95.717781,29.241489
TX,Brazoria,162,-95.733709,29.235317 -95.7284,29.235317 -95.7284,29.222974 -95.733709,29.222974 -95.733709,29.235317
TX,Brazoria,163,-95.717781,29.235317 -95.717781,29.229145 -95.7284,29.229145 -95.7284,29.235317 -95.717781,29.235317
TX,Brazoria,164,-95.717781,29.229145 -95.717781,29.222974 -95.7284,29.222974 -95.7284,29.229145 -95.717781,29.229145
TX,Brazoria,165,-95.866058,29.222974 -95.85365,29.222974 -95.85365,29.212456 -95.854597,29.213212 -95.866058,29.222974
TX,Brazoria,166,-95.85365,29.222974 -95.848461,29.222974 -95.848461,29.208127 -95.850594,29.210012 -95.85365,29.212456 -95.85365,29.222974
TX,Brazoria,167,-95.836409,29.222974 -95.836409,29.217536 -95.848461,29.217536 -95.848461,29.222974 -95.836409,29.222974
TX,Brazoria,168,-95.848461,29.217536 -95.84237,29.217536 -95.84237,29.206541 -95.846667,29.206541 -95.848461,29.208127 -95.848461,29.217536
TX,Brazoria,169,-95.84237,29.217536 -95.836409,29.217536 -95.836409,29.206541 -95.84237,29.206541 -95.84237,29.217536
TX,Brazoria,170,-95.842666,29.206541 -95.842666,29.196067 -95.854641,29.196067 -95.844597,29.204712 -95.846667,29.206541 -95.842666,29.206541
TX,Brazoria,171,-95.836409,29.206541 -95.836409,29.196067 -95.842666,29.196067 -95.842666,29.206541 -95.836409,29.206541
TX,Brazoria,172,-95.856796,29.194212 -95.854641,29.196067 -95.84755,29.196067 -95.84755,29.184458 -95.853996,29.190113 -95.856796,29.194212
TX,Brazoria,173,-95.836409,29.196067 -95.836409,29.190184 -95.84755,29.190184 -95.84755,29.196067 -95.836409,29.196067
TX,Brazoria,174,-95.836409,29.190184 -95.836409,29.184301 -95.847371,29.184301 -95.84755,29.184458 -95.84755,29.190184 -95.836409,29.190184
TX,Brazoria,175,-95.836409,29.222974 -95.827936,29.222974 -95.827936,29.215239 -95.836409,29.215239 -95.836409,29.222974
TX,Brazoria,176,-95.827936,29.222974 -95.819463,29.222974 -95.819463,29.215239 -95.827936,29.215239 -95.827936,29.222974
TX,Brazoria,177,-95.836409,29.215239 -95.830761,29.215239 -95.830761,29.203637 -95.836409,29.203637 -95.836409,29.215239
TX,Brazoria,178,-95.819463,29.215239 -95.819463,29.209438 -95.830761,29.209438 -95.830761,29.215239 -95.819463,29.215239
TX,Brazoria,179,-95.819463,29.209438 -95.819463,29.203637 -95.830761,29.203637 -95.830761,29.209438 -95.819463,29.209438
TX,Brazoria,180,-95.836409,29.203637 -95.827936,29.203637 -95.827936,29.195903 -95.836409,29.195903 -95.836409,29.203637
TX,Brazoria,181,-95.827936,29.203637 -95.819463,29.203637 -95.819463,29.195903 -95.827936,29.195903 -95.827936,29.203637
TX,Brazoria,182,-95.836409,29.195903 -95.830761,29.195903 -95.830761,29.184301 -95.836409,29.184301 -95.836409,29.195903
TX,Brazoria,183,-95.819463,29.195903 -95.819463,29.190102 -95.830761,29.190102 -95.830761,29.195903 -95.819463,29.195903
TX,Brazoria,184,-95.819463,29.190102 -95.819463,29.184301 -95.830761,29.184301 -95.830761,29.190102 -95.819463,29.190102
TX,Brazoria,185,-95.819463,29.222974 -95.810566,29.222974 -95.810566,29.215607 -95.819463,29.215607 -95.819463,29.222974
TX,Brazoria,186,-95.810566,29.222974 -95.80167,29.222974 -95.80167,29.215607 -95.810566,29.215607 -95.810566,29.222974
TX,Brazoria,187,-95.819463,29.215607 -95.813532,29.215607 -95.813532,29.204558 -95.819463,29.204558 -95.819463,29.215607
TX,Brazoria,188,-95.813532,29.215607 -95.807601,29.215607 -95.807601,29.204558 -95.813532,29.204558 -95.813532,29.215607
TX,Brazoria,189,-95.807601,29.215607 -95.80167,29.215607 -95.80167,29.204558 -95.807601,29.204558 -95.807601,29.215607
TX,Brazoria,190,-95.80167,29.222974 -95.792773,29.222974 -95.792773,29.215607 -95.80167,29.215607 -95.80167,29.222974
TX,Brazoria,191,-95.792773,29.222974 -95.783876,29.222974 -95.783876,29.215607 -95.792773,29.215607 -95.792773,29.222974
TX,Brazoria,192,-95.80167,29.215607 -95.795738,29.215607 -95.795738,29.204558 -95.80167,29.204558 -95.80167,29.215607
TX,Brazoria,193,-95.795738,29.215607 -95.789807,29.215607 -95.789807,29.204558 -95.795738,29.204558 -95.795738,29.215607
TX,Brazoria,194,-95.789807,29.215607 -95.783876,29.215607 -95.783876,29.204558 -95.789807,29.204558 -95.789807,29.215607
