State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Jackson,147,-96.830866,29.090497 -96.824653,29.090497 -96.824653,29.079946 -96.830866,29.079946 -96.830866,29.090497
TX,Jackson,148,-96.824653,29.090497 -96.81844,29.090497 -96.81844,29.079946 -96.824653,29.079946 -96.824653,29.090497
TX,Jackson,149,-96.806015,29.095772 -96.806015,29.090497 -96.81844,29.090497 -96.81844,29.095772 -96.806015,29.095772
TX,Jackson,150,-96.81844,29.090497 -96.812228,29.090497 -96.812228,29.079946 -96.81844,29.079946 -96.81844,29.090497
TX,Jackson,151,-96.812228,29.090497 -96.806015,29.090497 -96.806015,29.079946 -96.812228,29.079946 -96.812228,29.090497
TX,Jackson,152,-96.81844,29.079946 -96.81844,29.07467 -96.830866,29.07467 -96.830866,29.079946 -96.81844,29.079946
TX,Jackson,153,-96.830866,29.07467 -96.824653,29.07467 -96.824653,29.06412 -96.830866,29.06412 -96.830866,29.07467
TX,Jackson,154,-96.824653,29.07467 -96.81844,29.07467 -96.81844,29.06412 -96.824653,29.06412 -96.824653,29.07467
TX,Jackson,155,-96.806015,29.079946 -96.806015,29.07467 -96.81844,29.07467 -96.81844,29.079946 -96.806015,29.079946
TX,Jackson,156,-96.81844,29.07467 -96.812228,29.07467 -96.812228,29.06412 -96.81844,29.06412 -96.81844,29.07467
TX,Jackson,157,-96.812228,29.07467 -96.806015,29.07467 -96.806015,29.06412 -96.812228,29.06412 -96.812228,29.07467
TX,Jackson,158,-96.793589,29.095772 -96.793589,29.090497 -96.806015,29.090497 -96.806015,29.095772 -96.793589,29.095772
TX,Jackson,159,-96.806015,29.090497 -96.799802,29.090497 -96.799802,29.079946 -96.806015,29.079946 -96.806015,29.090497
TX,Jackson,160,-96.799802,29.090497 -96.793589,29.090497 -96.793589,29.079946 -96.799802,29.079946 -96.799802,29.090497
TX,Jackson,161,-96.781164,29.095772 -96.781164,29.090497 -96.793589,29.090497 -96.793589,29.095772 -96.781164,29.095772
TX,Jackson,162,-96.793589,29.090497 -96.787377,29.090497 -96.787377,29.079946 -96.793589,29.079946 -96.793589,29.090497
TX,Jackson,163,-96.787377,29.090497 -96.781164,29.090497 -96.781164,29.079946 -96.787377,29.079946 -96.787377,29.090497
TX,Jackson,164,-96.793589,29.079946 -96.793589,29.07467 -96.806015,29.07467 -96.806015,29.079946 -96.793589,29.079946
TX,Jackson,165,-96.806015,29.07467 -96.799802,29.07467 -96.799802,29.06412 -96.806015,29.06412 -96.806015,29.07467
TX,Jackson,166,-96.799802,29.07467 -96.793589,29.07467 -96.793589,29.06412 -96.799802,29.06412 -96.799802,29.07467
TX,Jackson,167,-96.781164,29.079946 -96.781164,29.07467 -96.793589,29.07467 -96.793589,29.079946 -96.781164,29.079946
TX,Jackson,168,-96.793589,29.07467 -96.787377,29.07467 -96.787377,29.06412 -96.793589,29.06412 -96.793589,29.07467
TX,Jackson,169,-96.787377,29.07467 -96.781164,29.07467 -96.781164,29.06412 -96.787377,29.06412 -96.787377,29.07467
TX,Jackson,170,-96.818937,29.06412 -96.818937,29.058624 -96.830866,29.058624 -96.830866,29.06412 -96.818937,29.06412
TX,Jackson,171,-96.830866,29.058624 -96.824901,29.058624 -96.824901,29.047634 -96.830866,29.047634 -96.830866,29.058624
TX,Jackson,172,-96.824901,29.058624 -96.818937,29.058624 -96.818937,29.047634 -96.824901,29.047634 -96.824901,29.058624
TX,Jackson,173,-96.807009,29.06412 -96.807009,29.058624 -96.818937,29.058624 -96.818937,29.06412 -96.807009,29.06412
TX,Jackson,174,-96.818937,29.058624 -96.812973,29.058624 -96.812973,29.047634 -96.818937,29.047634 -96.818937,29.058624
TX,Jackson,175,-96.812973,29.058624 -96.807009,29.058624 -96.807009,29.047634 -96.812973,29.047634 -96.812973,29.058624
TX,Jackson,176,-96.818937,29.047634 -96.818937,29.042139 -96.830866,29.042139 -96.830866,29.047634 -96.818937,29.047634
TX,Jackson,177,-96.830866,29.042139 -96.824901,29.042139 -96.824901,29.031149 -96.830866,29.031149 -96.830866,29.042139
TX,Jackson,178,-96.824901,29.042139 -96.818937,29.042139 -96.818937,29.031149 -96.824901,29.031149 -96.824901,29.042139
TX,Jackson,179,-96.807009,29.047634 -96.807009,29.042139 -96.818937,29.042139 -96.818937,29.047634 -96.807009,29.047634
TX,Jackson,180,-96.818937,29.042139 -96.812973,29.042139 -96.812973,29.031149 -96.818937,29.031149 -96.818937,29.042139
TX,Jackson,181,-96.812973,29.042139 -96.807009,29.042139 -96.807009,29.031149 -96.812973,29.031149 -96.812973,29.042139
TX,Jackson,182,-96.794086,29.06412 -96.794086,29.059047 -96.807009,29.059047 -96.807009,29.06412 -96.794086,29.06412
TX,Jackson,183,-96.807009,29.059047 -96.800548,29.059047 -96.800548,29.048902 -96.807009,29.048902 -96.807009,29.059047
TX,Jackson,184,-96.800548,29.059047 -96.794086,29.059047 -96.794086,29.048902 -96.800548,29.048902 -96.800548,29.059047
TX,Jackson,185,-96.781164,29.06412 -96.781164,29.059047 -96.794086,29.059047 -96.794086,29.06412 -96.781164,29.06412
TX,Jackson,186,-96.794086,29.059047 -96.787625,29.059047 -96.787625,29.048902 -96.794086,29.048902 -96.794086,29.059047
TX,Jackson,187,-96.787625,29.059047 -96.781164,29.059047 -96.781164,29.048902 -96.787625,29.048902 -96.787625,29.059047
TX,Jackson,188,-96.795932,29.048902 -96.795932,29.042984 -96.807009,29.042984 -96.807009,29.048902 -96.795932,29.048902
TX,Jackson,189,-96.795932,29.042984 -96.795932,29.037066 -96.807009,29.037066 -96.807009,29.042984 -96.795932,29.042984
TX,Jackson,190,-96.795932,29.037066 -96.795932,29.031149 -96.807009,29.031149 -96.807009,29.037066 -96.795932,29.037066
TX,Jackson,191,-96.795932,29.048902 -96.788548,29.048902 -96.788548,29.040025 -96.795932,29.040025 -96.795932,29.048902
TX,Jackson,192,-96.788548,29.048902 -96.781164,29.048902 -96.781164,29.040025 -96.788548,29.040025 -96.788548,29.048902
