Name,Unit,Lease Rate,New Price,New Hours,Current Price,Hours Remain,Width,Speed,Field Eff.,Hours Power,Rf1,Rf2,Ir Loan,L Loan,Ir Equity,P Debt,Year,Rv1,Rv2
113,Cotton stripper self-prop,each,100,112129,2000,101935,2000,4.9,6.92,75,149,0.11,1.8,0.08,5,0.08,0.5,4,0.64,0.885
114,Cotton trailer,each,100,2200,525,2000,525,4.9,19.31,50.9,0,0.19,1.3,0.08,5,0.08,0.5,4,0.6,0.885
115,Coulter chisel,each,100,3850,750,3850,750,15,5,75,0,0.23,1.4,0.08,5,0.08,0.5,4,0.6,0.885
116,Coulter-chisel plow,each,100,8342,2500,7584,2500,5.5,8.05,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.6,0.885
117,Crawler 40 hp diesel,each,100,17499,12000,15908,12000,0.3,0,0,30,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
118,Crawler 55 hp diesel,each,100,20515,12000,18650,12000,0.3,0,0,41,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
119,Crawler 85 hp diesel,each,100,32848,12000,29862,12000,0.3,0,0,63,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
120,Crawler 100 hp diesel,each,100,42342,12000,38492,12000,0.3,0,0,75,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
121,Crawler 135 hp diesel,each,100,60270,12000,54791,12000,0.3,0,0,101,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
122,Crawler 160 hp diesel,each,100,76687,12000,69716,12000,0.3,0,0,119,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
123,Crawler 175 hp diesel,each,100,90069,12000,81881,12000,0.3,0,0,130,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
124,Crawler 205 hp diesel,each,100,110567,12000,100515,12000,0.3,0,0,153,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
125,Crawler 225 hp diesel,each,100,124266,12000,112969,12000,0.3,0,0,168,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
126,Crawler 290 hp diesel,each,100,157418,12000,143107,12000,0.3,0,0,216,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
127,"Culti-mulcher, crumbler, packer-mulcher, pulvi-mulcher, roller harrow",each,100,6600,3000,6600,3000,9,5,80,0,0.056,1.8,0.08,5,0.08,0.5,4,0.56,0.885
128,Culti-packer pulverizer,each,100,6494,2000,5904,2000,4.3,9.65,85,0,0.16,1.7,0.08,5,0.08,0.5,4,0.6,0.885
129,"Culti-weeder, multi-weeder",each,100,3900,2250,3900,2250,10,4.65,80,0,0.19,1.3,0.08,5,0.08,0.5,4,0.6,0.885
130,Cultipaker - cultipaker,each,100,6000,2000,6000,2000,9,5,80,0,0.16,1.3,0.08,5,0.08,0.5,4,0.6,0.885
131,Cultivate 608,each,100,15,1,15,1,0,0,0,0,0,0,0.08,5,0.08,0.5,4,0,0
132,Cultivating,each,100,17190,900,17190,900,15,5.5,65,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
133,Cultivator - cultivator,each,100,6000,2000,6000,2000,9,5,80,0,0.17,2.2,0.08,5,0.08,0.5,4,0.6,0.885
134,"Cultivator - cultivator, 12 row narrow",each,100,10450,1200,10450,1200,30,5,80,0,0.17,2.2,0.08,5,0.08,0.5,4,0.6,0.885
135,"Cultivator - cultivator, 4 row narrow",each,100,4500,1200,4500,1200,10,5,80,0,0.17,2.2,0.08,5,0.08,0.5,4,0.6,0.885
136,"Cultivator - cultivator, 6 row narrow",each,100,5400,1200,5400,1200,15,5,80,0,0.17,2.2,0.08,5,0.08,0.5,4,0.6,0.885
137,"Cultivator - cultivator, 8 row narrow",each,100,6600,1200,6600,1200,20,5,80,0,0.17,2.2,0.08,5,0.08,0.5,4,0.6,0.885
138,Cutter - hay cutter,each,100,1352.66,2000,1352.66,2000,9,7,80,0,0.16,2,0.08,5,0.08,0.5,4,0.6,0.885
139,D7e bulldozer with blade,each,100,148612,12000,135101,12000,3,4.83,60,224,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
140,Deep ripper,each,100,15000,750,15000,750,15,6,80,0,0.23,1.4,0.08,5,0.08,0.5,4,0.6,0.885
141,Deep ripper- subsoiler,each,100,11578,2000,10525,2000,5.5,6.44,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.6,0.885
142,Defoliate,each,100,8,12000,7,12000,30,12,90,119,0.41,1.3,0.08,5,0.08,0.5,4,0.68,0.92
143,Destroy puddle,each,100,1,1,1,1,1,1,1,0,0,0,0.08,5,0.08,0.5,4,0,0
144,Disc 613,each,100,20,1,20,1,0,0,0,0,0,0,0.08,5,0.08,0.5,4,0,0
145,Discovator,each,100,19500,1800,19500,1800,14,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
146,Disk,each,100,116400,5500,116400,5500,8,6,70,190,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
147,Disk - 14 ft tandem disk,each,100,9680,1500,9680,1500,14,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
148,Disk - 17 ft tandem disk,each,100,15900,1500,15900,1500,17,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
149,Disk - 21 ft tandem disk,each,100,20500,1500,20500,1500,21,6,75,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
150,Disk - 21 krause disk,each,100,6000,2000,6000,2000,9,4.5,85,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
151,Disk - 21/ krause disk,each,100,6000,2000,6000,2000,9,4.5,85,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
152,Disk - 27 ft tandem disk,each,100,25000,1500,25000,1500,27,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
153,Disk - disk,each,100,6000,2000,6000,2000,9,4.5,85,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
154,"Disk - off-set disk, 14 ft",each,100,9020,1200,9020,1200,14,4.5,85,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
155,"Disk - off-set disk, 16 ft",each,100,10560,1200,10560,1200,16,4.5,85,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
156,"Disk - off-set disk, 18 ft",each,100,12650,1200,12650,1200,18,4.5,85,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
157,"Disk - off-set disk, 21 ft",each,100,13860,1200,13860,1200,21,4.5,85,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
158,"Disk bedder, row disk, bedder",each,100,18000,1800,18000,1800,12,5,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
159,Disk border maker,each,100,23110,2500,21009,2500,2.1,7.24,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
160,"Disk cultivator, rolling cultivator, row cultivator",each,100,23100,1200,23100,1200,20,3,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.56,0.885
161,"Disk drill, hoe drill, press drill",each,100,50225,8000,50225,8000,8,6,70,105,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
162,Disk plow,each,100,9000,750,9000,750,20,6,80,0,0.23,1.4,0.08,5,0.08,0.5,4,0.6,0.885
163,Disk plow ge23ft,each,100,28820,2000,26200,2000,7.3,7.24,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
164,Disk plow ge23ft,each,100,17658,2500,16053,2500,7.3,7.24,75,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
165,"Ditch digger, ditcher, levee-plow, levee disk",each,100,116400,5500,116400,5500,8,6,70,190,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
166,Ditcher (vee or rotary),each,100,17054,2000,15504,2000,2.1,4.83,80,0,0.29,1.8,0.08,5,0.08,0.5,4,0.6,0.885
167,"Doall, landall, mix-n-till, tillall",each,100,17600,1800,17600,1800,18,5,60,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
168,Drill,each,100,15950,1500,15950,1500,12,6,70,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
169,Drill - 20 tye drill,each,100,6000,1500,6000,1500,9,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
170,Drill - drill,each,100,6000,1500,6000,1500,9,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
171,"Drill - gr drill, 12 ft",each,100,8100,600,8100,600,12,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
172,"Drill - gr drill, 20 ft",each,100,13000,600,13000,600,20,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
173,"Drill - gr drill, 30 ft",each,100,20000,600,20000,600,30,4.5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
174,Drill - grain drill,each,100,6000,1500,6000,1500,9,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
175,"Drill - grain drill, 8 foot",each,100,1652.58,1200,1652.58,1200,8,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
176,Drill - krause drill,each,100,6000,1500,6000,1500,9,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
177,Drill - no-till drill 15ft,each,100,23000,900,23000,900,15,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
178,Drill 20 ft,each,100,128900,5500,128900,5500,20,6,70,240,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
179,Drill no-till 24 ft,each,100,48543,2000,44130,2000,7.3,6.44,65,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
180,"Drill,plain,discgrain gt1",each,100,17389,1200,15808,1200,4.3,4.02,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
181,Drilling,each,100,15950,1500,15950,1500,12,6,70,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
182,Drilling grain,each,100,17190,900,17190,900,15,5.5,65,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
183,Dry fert sprdr trailer mt,each,100,1631,1200,1483,1200,9.1,7.24,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
184,Dry fert. rig,each,100,5000,2000,5000,2000,8,6,70,0,0.43,1.8,0.08,3,0.08,0.5,4,0.6,0.885
185,Dryer - grain dryer,each,100,6000,2000,6000,2000,8,6,70,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
186,Drying 606,each,100,1,1,1,1,0,0,0,0,0,0,0.08,5,0.08,0.5,4,0,0
187,"Duckfoot cultivator, field cultivator(heavy duty)",each,100,24630,1200,24630,1200,24,3,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.56,0.885
188,Farm12_dmf_oe1_cultivator flexicoil shvel and harrows,each,100,30000,1200,30000,1200,32,10,85,0,0.27,1.4,0.08,5,0.08,0.5,4,0.6,0.885
189,Farm12_dmf_oe2_seed drill jd hoe,each,100,30000,1200,30000,1200,30,10,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
190,Farm12_dmf_oe3_jd 4960 tractor,each,100,80000,9600,80000,9600,50,20,80,235,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
191,Farm12_dmf_oe4_swather hesston sp,each,100,35000,1800,35000,1800,21,5,80,90,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
192,Farm12_dmf_oe5_forage harvester case 1h pt,each,100,20000,4000,20000,4000,8,6,70,0,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
193,Farm12_dmf_oe6_bagger gem silage bagger,each,100,120000,4000,120000,4000,9,15,70,0,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
